"common","catch_count","year","month","MODE_FX","AREA_X","clust","mean_brevis_count"
"LADYFISH",4,"2002","1","7","5","2",87629
"LEFTEYE FLOUNDER FAMILY",2,"2002","1","7","5","2",87629
"RED DRUM",9,"2002","1","7","5","2",87629
"SHEEPSHEAD",78,"2002","1","7","5","2",87629
"SPOTTED SEATROUT",94,"2002","1","7","5","4",87629
"ATLANTIC SPADEFISH",1,"2002","2","5","5","2",53552
"BLUEFISH",1,"2002","2","5","5","1",53552
"BLUEFISH",6,"2002","2","7","5","2",53552
"COMMON SNOOK",19,"2002","2","7","5","2",53552
"CREVALLE JACK",5,"2002","2","7","5","2",53552
"FLORIDA POMPANO",5,"2002","2","5","5","1",53552
"FLORIDA POMPANO",6,"2002","2","7","5","2",53552
"GRAY SNAPPER",1,"2002","2","7","5","2",53552
"HARDHEAD CATFISH",1,"2002","2","7","5","2",53552
"KINGFISH GENUS",17,"2002","2","7","5","2",53552
"LADYFISH",39,"2002","2","5","5","1",53552
"LADYFISH",33,"2002","2","7","5","2",53552
"PINFISH",5,"2002","2","7","5","2",53552
"RED DRUM",9,"2002","2","7","5","2",53552
"SHEEPSHEAD",9,"2002","2","5","5","1",53552
"SHEEPSHEAD",89,"2002","2","7","5","4",53552
"SPOTTED SEATROUT",1,"2002","2","5","5","1",53552
"SPOTTED SEATROUT",95,"2002","2","7","5","4",53552
"BONNETHEAD",1,"2002","3","7","5","2",0
"COMMON SNOOK",4,"2002","3","7","5","2",0
"CREVALLE JACK",1,"2002","3","5","5","1",0
"CREVALLE JACK",1,"2002","3","7","5","2",0
"GAFFTOPSAIL CATFISH",3,"2002","3","7","5","2",0
"GAG",1,"2002","3","7","5","2",0
"GRAY SNAPPER",3,"2002","3","5","5","1",0
"GRAY SNAPPER",3,"2002","3","7","5","2",0
"GULF FLOUNDER",2,"2002","3","7","5","2",0
"HARDHEAD CATFISH",2,"2002","3","5","5","1",0
"HARDHEAD CATFISH",9,"2002","3","7","5","2",0
"LADYFISH",1,"2002","3","3","5","2",0
"LADYFISH",11,"2002","3","5","5","1",0
"LADYFISH",150,"2002","3","7","5","4",0
"LIZARDFISH GENUS",4,"2002","3","7","5","2",0
"MACKEREL GENUS",6,"2002","3","3","5","2",0
"RED DRUM",6,"2002","3","7","5","2",0
"SHEEPSHEAD",11,"2002","3","5","5","1",0
"SHEEPSHEAD",24,"2002","3","7","5","2",0
"SPANISH MACKEREL",1,"2002","3","5","5","1",0
"SPOTTED SEATROUT",18,"2002","3","5","5","1",0
"SPOTTED SEATROUT",76,"2002","3","7","5","4",0
"BONNETHEAD",1,"2002","4","7","5","2",50037
"COMMON SNOOK",5,"2002","4","7","5","2",50037
"CREVALLE JACK",12,"2002","4","7","5","2",50037
"FLORIDA POMPANO",2,"2002","4","7","5","2",50037
"GAFFTOPSAIL CATFISH",2,"2002","4","7","5","2",50037
"GAG",1,"2002","4","3","5","2",50037
"GRAY SNAPPER",10,"2002","4","3","5","2",50037
"GRAY SNAPPER",31,"2002","4","7","5","2",50037
"HARDHEAD CATFISH",2,"2002","4","3","5","2",50037
"HARDHEAD CATFISH",15,"2002","4","7","5","2",50037
"INSHORE LIZARDFISH",1,"2002","4","7","5","2",50037
"JACK FAMILY",1,"2002","4","3","5","2",50037
"JACK FAMILY",1,"2002","4","7","5","2",50037
"LADYFISH",21,"2002","4","7","5","2",50037
"PINFISH",3,"2002","4","3","5","2",50037
"PINFISH",13,"2002","4","7","5","2",50037
"PUFFER GENUS",2,"2002","4","3","5","2",50037
"RED DRUM",6,"2002","4","7","5","2",50037
"SEA CATFISH FAMILY",3,"2002","4","7","5","2",50037
"SEATROUT GENUS",12,"2002","4","7","5","2",50037
"SHEEPSHEAD",5,"2002","4","3","5","2",50037
"SHEEPSHEAD",6,"2002","4","7","5","2",50037
"SPOTTED SEATROUT",7,"2002","4","7","5","4",50037
"ATLANTIC SPADEFISH",1,"2002","5","3","5","2",307
"BLACK SEA BASS",1,"2002","5","3","5","2",307
"BLUE RUNNER",14,"2002","5","3","5","2",307
"BLUE RUNNER",2,"2002","5","7","5","2",307
"BLUEFISH",1,"2002","5","5","5","1",307
"BLUEFISH",4,"2002","5","7","5","2",307
"BONNETHEAD",1,"2002","5","7","5","2",307
"COMMON SNOOK",29,"2002","5","7","5","2",307
"CREVALLE JACK",13,"2002","5","3","5","2",307
"CREVALLE JACK",4,"2002","5","5","5","1",307
"CREVALLE JACK",54,"2002","5","7","5","4",307
"FLORIDA POMPANO",1,"2002","5","3","5","2",307
"FLORIDA POMPANO",10,"2002","5","7","5","2",307
"GAFFTOPSAIL CATFISH",5,"2002","5","5","5","1",307
"GAFFTOPSAIL CATFISH",3,"2002","5","7","5","2",307
"GAG",1,"2002","5","7","5","2",307
"GOLIATH GROUPER",1,"2002","5","7","5","2",307
"GRAY SNAPPER",53,"2002","5","7","5","4",307
"GULF FLOUNDER",2,"2002","5","7","5","2",307
"GULF KINGFISH",1,"2002","5","7","5","2",307
"HARDHEAD CATFISH",5,"2002","5","5","5","1",307
"HARDHEAD CATFISH",111,"2002","5","7","5","4",307
"INSHORE LIZARDFISH",4,"2002","5","7","5","2",307
"LADYFISH",2,"2002","5","3","5","2",307
"LADYFISH",2,"2002","5","5","5","1",307
"LADYFISH",112,"2002","5","7","5","4",307
"LEATHERJACK",1,"2002","5","7","5","2",307
"LIZARDFISH FAMILY",30,"2002","5","7","5","2",307
"OCEANIC PUFFER",1,"2002","5","3","5","2",307
"PINFISH",19,"2002","5","7","5","2",307
"RED DRUM",3,"2002","5","7","5","2",307
"REQUIEM SHARK FAMILY",2,"2002","5","7","5","2",307
"SAND PERCH",6,"2002","5","7","5","2",307
"SCALED SARDINE",208,"2002","5","7","5","5",307
"SHEEPSHEAD",2,"2002","5","7","5","2",307
"SOUTHERN KINGFISH",1,"2002","5","7","5","2",307
"SPANISH MACKEREL",36,"2002","5","3","5","2",307
"SPANISH MACKEREL",3,"2002","5","7","5","2",307
"SPOTTED SEATROUT",22,"2002","5","5","5","1",307
"SPOTTED SEATROUT",227,"2002","5","7","5","4",307
"STINGRAY GENUS",2,"2002","5","3","5","2",307
"WHITE GRUNT",1,"2002","5","7","5","2",307
"ATLANTIC SPADEFISH",1,"2002","6","3","5","2",14381
"BLACK DRUM",2,"2002","6","3","5","2",14381
"BLACKTIP SHARK",2,"2002","6","5","5","1",14381
"CREVALLE JACK",2,"2002","6","3","5","2",14381
"CREVALLE JACK",1,"2002","6","7","5","2",14381
"GAFFTOPSAIL CATFISH",3,"2002","6","3","5","2",14381
"GRAY SNAPPER",1,"2002","6","3","5","2",14381
"LADYFISH",2,"2002","6","3","5","2",14381
"LIZARDFISH GENUS",1,"2002","6","3","5","2",14381
"PINFISH",16,"2002","6","3","5","2",14381
"RED DRUM",1,"2002","6","7","5","2",14381
"SPOTTED SEATROUT",2,"2002","6","5","5","1",14381
"SPOTTED SEATROUT",25,"2002","6","7","5","4",14381
"ATLANTIC SPADEFISH",1,"2002","7","3","5","2",106844
"BLACK SEA BASS",1,"2002","7","7","5","2",106844
"BLACKNOSE SHARK",1,"2002","7","7","5","2",106844
"BLACKTIP SHARK",4,"2002","7","3","5","2",106844
"CREVALLE JACK",1,"2002","7","3","5","2",106844
"CREVALLE JACK",19,"2002","7","7","5","2",106844
"GAFFTOPSAIL CATFISH",2,"2002","7","3","5","2",106844
"GAFFTOPSAIL CATFISH",14,"2002","7","7","5","2",106844
"GAG",21,"2002","7","3","5","2",106844
"GAG",16,"2002","7","7","5","2",106844
"GRAY SNAPPER",58,"2002","7","3","5","4",106844
"GRAY SNAPPER",68,"2002","7","7","5","4",106844
"GRAY TRIGGERFISH",1,"2002","7","7","5","2",106844
"GRUNT FAMILY",5,"2002","7","3","5","3",106844
"GULF TOADFISH",1,"2002","7","3","5","2",106844
"HARDHEAD CATFISH",4,"2002","7","3","5","2",106844
"HARDHEAD CATFISH",25,"2002","7","7","5","2",106844
"INSHORE LIZARDFISH",11,"2002","7","3","5","2",106844
"INSHORE LIZARDFISH",7,"2002","7","7","5","2",106844
"KINGFISH GENUS",4,"2002","7","7","5","2",106844
"LADYFISH",2,"2002","7","3","5","2",106844
"LADYFISH",7,"2002","7","7","5","2",106844
"LANE SNAPPER",3,"2002","7","3","5","2",106844
"LEATHERJACK",6,"2002","7","7","5","3",106844
"LEMON SHARK",2,"2002","7","3","5","3",106844
"LIZARDFISH GENUS",33,"2002","7","7","5","2",106844
"PIGFISH",89,"2002","7","3","5","3",106844
"PINFISH",99,"2002","7","3","5","4",106844
"PINFISH",80,"2002","7","7","5","4",106844
"RED DRUM",3,"2002","7","3","5","2",106844
"RED DRUM",24,"2002","7","7","5","2",106844
"REQUIEM SHARK GENUS",1,"2002","7","7","5","2",106844
"SAND PERCH",2,"2002","7","3","5","2",106844
"SAND PERCH GENUS",4,"2002","7","7","5","4",106844
"SCALED SARDINE",24,"2002","7","3","5","4",106844
"SCALED SARDINE",50,"2002","7","7","5","4",106844
"SCRAWLED COWFISH",1,"2002","7","3","5","2",106844
"SHEEPSHEAD",3,"2002","7","7","5","2",106844
"SOUTHERN PUFFER",3,"2002","7","7","5","2",106844
"SPANISH MACKEREL",1,"2002","7","3","5","2",106844
"SPANISH MACKEREL",20,"2002","7","7","5","2",106844
"SPANISH SARDINE",24,"2002","7","7","5","4",106844
"SPOTTED SEATROUT",33,"2002","7","7","5","4",106844
"STRIPED MOJARRA",2,"2002","7","3","5","2",106844
"STRIPED MULLET",4,"2002","7","7","5","2",106844
"UNIDENTIFIED GROUPER",4,"2002","7","3","5","3",106844
"UNIDENTIFIED GROUPER",12,"2002","7","7","5","3",106844
"WHITE GRUNT",2,"2002","7","3","5","2",106844
"WHITE GRUNT",5,"2002","7","7","5","2",106844
"YELLOWFIN MOJARRA",1,"2002","7","3","5","3",106844
"ATLANTIC NEEDLEFISH",1,"2002","8","3","5","3",165833
"BLACK SEA BASS",2,"2002","8","7","5","2",165833
"BLUE RUNNER",3,"2002","8","7","5","2",165833
"BLUEFISH",1,"2002","8","7","5","2",165833
"COMMON SNOOK",2,"2002","8","3","5","2",165833
"COMMON SNOOK",12,"2002","8","5","5","2",165833
"COMMON SNOOK",22,"2002","8","7","5","2",165833
"CREVALLE JACK",1,"2002","8","3","5","2",165833
"CREVALLE JACK",15,"2002","8","5","5","2",165833
"CREVALLE JACK",18,"2002","8","7","5","4",165833
"GAFFTOPSAIL CATFISH",2,"2002","8","5","5","2",165833
"GAFFTOPSAIL CATFISH",2,"2002","8","7","5","2",165833
"GAG",1,"2002","8","3","5","2",165833
"GAG",79,"2002","8","7","5","4",165833
"GRAY SNAPPER",8,"2002","8","3","5","2",165833
"GRAY SNAPPER",12,"2002","8","5","5","2",165833
"GRAY SNAPPER",40,"2002","8","7","5","4",165833
"GRAY TRIGGERFISH",1,"2002","8","7","5","2",165833
"GULF FLOUNDER",1,"2002","8","7","5","2",165833
"HARDHEAD CATFISH",13,"2002","8","7","5","4",165833
"INSHORE LIZARDFISH",1,"2002","8","3","5","2",165833
"INSHORE LIZARDFISH",1,"2002","8","7","5","2",165833
"LADYFISH",3,"2002","8","3","5","2",165833
"LADYFISH",16,"2002","8","5","5","1",165833
"LADYFISH",32,"2002","8","7","5","4",165833
"LEATHERJACK",5,"2002","8","3","5","3",165833
"NURSE SHARK",1,"2002","8","7","5","4",165833
"PINFISH",50,"2002","8","7","5","4",165833
"RED DRUM",4,"2002","8","5","5","2",165833
"RED DRUM",10,"2002","8","7","5","2",165833
"SCALED SARDINE",520,"2002","8","7","5","5",165833
"SPANISH MACKEREL",31,"2002","8","3","5","2",165833
"SPANISH MACKEREL",3,"2002","8","5","5","2",165833
"SPANISH MACKEREL",3,"2002","8","7","5","2",165833
"SPOTTAIL PINFISH",1,"2002","8","7","5","2",165833
"SPOTTED SEATROUT",5,"2002","8","3","5","4",165833
"SPOTTED SEATROUT",18,"2002","8","5","5","4",165833
"SPOTTED SEATROUT",65,"2002","8","7","5","4",165833
"STRIPED MULLET",25,"2002","8","7","5","4",165833
"UNIDENTIFIED GROUPER",8,"2002","8","5","5","4",165833
"UNIDENTIFIED GROUPER",34,"2002","8","7","5","4",165833
"WHITE MULLET",20,"2002","8","7","5","3",165833
"COMMON SNOOK",15,"2002","9","7","5","2",32122
"CREVALLE JACK",3,"2002","9","7","5","2",32122
"GAFFTOPSAIL CATFISH",9,"2002","9","7","5","2",32122
"GAG",78,"2002","9","3","5","4",32122
"GRAY SNAPPER",26,"2002","9","3","5","2",32122
"GRAY SNAPPER",15,"2002","9","7","5","4",32122
"HARDHEAD CATFISH",9,"2002","9","7","5","2",32122
"INSHORE LIZARDFISH",1,"2002","9","3","5","2",32122
"INSHORE LIZARDFISH",2,"2002","9","7","5","2",32122
"LADYFISH",6,"2002","9","7","5","2",32122
"PINFISH",8,"2002","9","3","5","2",32122
"PINFISH",3,"2002","9","7","5","4",32122
"RED DRUM",25,"2002","9","7","5","4",32122
"SAND PERCH",1,"2002","9","3","5","2",32122
"SCALED SARDINE",212,"2002","9","3","5","5",32122
"SPANISH MACKEREL",2,"2002","9","3","5","2",32122
"SPANISH MACKEREL",2,"2002","9","7","5","2",32122
"SPOTTED SEATROUT",24,"2002","9","7","5","4",32122
"STRIPED MULLET",12,"2002","9","7","5","2",32122
"UNIDENTIFIED GROUPER",24,"2002","9","7","5","3",32122
"WHITE GRUNT",4,"2002","9","7","5","2",32122
"BLACKTIP SHARK",1,"2002","10","7","5","2",357
"GAG",35,"2002","10","7","5","2",357
"GRAY SNAPPER",26,"2002","10","7","5","2",357
"HARDHEAD CATFISH",1,"2002","10","7","5","2",357
"KING MACKEREL",4,"2002","10","7","5","2",357
"SCALED SARDINE",100,"2002","10","7","5","4",357
"SPANISH MACKEREL",2,"2002","10","7","5","2",357
"CREVALLE JACK",1,"2002","11","5","5","2",1021
"CREVALLE JACK",3,"2002","11","7","5","2",1021
"GAFFTOPSAIL CATFISH",1,"2002","11","5","5","2",1021
"GAFFTOPSAIL CATFISH",2,"2002","11","7","5","2",1021
"GAG",5,"2002","11","5","5","2",1021
"GAG",29,"2002","11","7","5","2",1021
"GRAY SNAPPER",19,"2002","11","7","5","2",1021
"GULF FLOUNDER",1,"2002","11","7","5","2",1021
"HARDHEAD CATFISH",3,"2002","11","5","5","2",1021
"HARDHEAD CATFISH",5,"2002","11","7","5","2",1021
"INSHORE LIZARDFISH",8,"2002","11","7","5","2",1021
"LADYFISH",2,"2002","11","5","5","2",1021
"LADYFISH",70,"2002","11","7","5","4",1021
"PINFISH",93,"2002","11","7","5","4",1021
"RED DRUM",1,"2002","11","5","5","2",1021
"RED DRUM",6,"2002","11","7","5","2",1021
"SAND PERCH",1,"2002","11","7","5","2",1021
"SCALED SARDINE",100,"2002","11","7","5","4",1021
"SEA CATFISH FAMILY",2,"2002","11","7","5","2",1021
"SHEEPSHEAD",4,"2002","11","7","5","2",1021
"SPOTTED SEATROUT",6,"2002","11","5","5","1",1021
"SPOTTED SEATROUT",116,"2002","11","7","5","4",1021
"WHITE GRUNT",2,"2002","11","7","5","2",1021
"WHITE MULLET",2,"2002","11","7","5","3",1021
"BLACK SEA BASS",1,"2002","12","7","5","2",0
"BLUEFISH",7,"2002","12","7","5","2",0
"COMMON SNOOK",30,"2002","12","7","5","2",0
"CREVALLE JACK",6,"2002","12","7","5","2",0
"GAG",25,"2002","12","7","5","2",0
"GRAY SNAPPER",5,"2002","12","7","5","2",0
"GULF FLOUNDER",2,"2002","12","7","5","2",0
"GULF KINGFISH",3,"2002","12","7","5","2",0
"HARDHEAD CATFISH",12,"2002","12","7","5","2",0
"INSHORE LIZARDFISH",8,"2002","12","7","5","2",0
"KINGFISH GENUS",2,"2002","12","7","5","2",0
"LADYFISH",46,"2002","12","7","5","4",0
"LEFTEYE FLOUNDER FAMILY",4,"2002","12","7","5","2",0
"PINFISH",18,"2002","12","7","5","2",0
"RED DRUM",9,"2002","12","7","5","2",0
"SCALED SARDINE",50,"2002","12","7","5","4",0
"SHEEPSHEAD",20,"2002","12","7","5","2",0
"SOUTHERN PUFFER",5,"2002","12","7","5","2",0
"SPOTTED SEATROUT",118,"2002","12","7","5","4",0
"STINGRAY GENUS",1,"2002","12","7","5","2",0
"UNIDENTIFIED GROUPER",1,"2002","12","7","5","2",0
"WHITE GRUNT",4,"2002","12","7","5","2",0
"BLACK DRUM",1,"2003","1","3","5","2",33927
"BLUEFISH",2,"2003","1","7","5","1",33927
"BONNETHEAD",6,"2003","1","3","5","2",33927
"GAFFTOPSAIL CATFISH",3,"2003","1","7","5","2",33927
"GAG",1,"2003","1","7","5","2",33927
"GRAY SNAPPER",24,"2003","1","3","5","2",33927
"GRAY SNAPPER",2,"2003","1","7","5","2",33927
"GULF FLOUNDER",2,"2003","1","3","5","2",33927
"GULF FLOUNDER",1,"2003","1","7","5","2",33927
"GULF KINGFISH",21,"2003","1","7","5","2",33927
"HARDHEAD CATFISH",10,"2003","1","3","5","2",33927
"HARDHEAD CATFISH",1,"2003","1","7","5","2",33927
"KINGFISH GENUS",4,"2003","1","3","5","2",33927
"LADYFISH",23,"2003","1","7","5","2",33927
"LEATHERJACKET FAMILY",1,"2003","1","7","5","2",33927
"PIGFISH",3,"2003","1","3","5","2",33927
"PINFISH",10,"2003","1","3","5","2",33927
"PINFISH",23,"2003","1","7","5","2",33927
"RED DRUM",2,"2003","1","7","5","2",33927
"SAND SEATROUT",57,"2003","1","7","5","2",33927
"SHEEPSHEAD",21,"2003","1","3","5","2",33927
"SHEEPSHEAD",2,"2003","1","7","5","2",33927
"SOUTHERN KINGFISH",1,"2003","1","7","5","2",33927
"SPOTTED SEATROUT",27,"2003","1","7","5","2",33927
"STINGRAY GENUS",3,"2003","1","3","5","2",33927
"STINGRAY GENUS",1,"2003","1","7","5","2",33927
"STRIPED BURRFISH",1,"2003","1","3","5","2",33927
"BLACK DRUM",2,"2003","2","7","5","2",188
"BLACK SEA BASS",1,"2003","2","7","5","2",188
"COMMON SNOOK",1,"2003","2","5","5","1",188
"CREVALLE JACK",2,"2003","2","7","5","2",188
"FLORIDA POMPANO",2,"2003","2","7","5","2",188
"GAG",1,"2003","2","7","5","2",188
"GROUPER GENUS (MYCTEROPERCA)",6,"2003","2","7","5","2",188
"GULF FLOUNDER",2,"2003","2","3","5","2",188
"GULF FLOUNDER",2,"2003","2","7","5","2",188
"HARDHEAD CATFISH",1,"2003","2","3","5","2",188
"HARDHEAD CATFISH",2,"2003","2","5","5","1",188
"INSHORE LIZARDFISH",1,"2003","2","5","5","2",188
"KINGFISH GENUS",1,"2003","2","5","5","2",188
"KINGFISH GENUS",1,"2003","2","7","5","2",188
"LADYFISH",24,"2003","2","5","5","1",188
"LADYFISH",27,"2003","2","7","5","2",188
"PINFISH",4,"2003","2","3","5","2",188
"PINFISH",1,"2003","2","5","5","1",188
"PINFISH",1,"2003","2","7","5","2",188
"RED DRUM",7,"2003","2","5","5","1",188
"SHEEPSHEAD",26,"2003","2","5","5","1",188
"SHEEPSHEAD",149,"2003","2","7","5","4",188
"SNAPPER GENUS",10,"2003","2","7","5","2",188
"SOUTHERN PUFFER",2,"2003","2","3","5","2",188
"SPANISH MACKEREL",1,"2003","2","5","5","1",188
"SPOTTED SEATROUT",1,"2003","2","3","5","2",188
"SPOTTED SEATROUT",37,"2003","2","5","5","1",188
"SPOTTED SEATROUT",110,"2003","2","7","5","4",188
"STINGRAY GENUS",2,"2003","2","3","5","2",188
"UNIDENTIFIED GROUPER",6,"2003","2","7","5","2",188
"ATLANTIC STINGRAY",3,"2003","3","3","5","2",145111
"BLUEFISH",1,"2003","3","5","5","1",145111
"BLUEFISH",2,"2003","3","7","5","1",145111
"BONNETHEAD",2,"2003","3","3","5","2",145111
"COMMON SNOOK",7,"2003","3","7","5","2",145111
"COWNOSE RAY",1,"2003","3","3","5","2",145111
"COWNOSE RAY",1,"2003","3","7","5","2",145111
"CREVALLE JACK",2,"2003","3","5","5","1",145111
"CREVALLE JACK",9,"2003","3","7","5","2",145111
"FLORIDA POMPANO",3,"2003","3","3","5","2",145111
"FLORIDA POMPANO",5,"2003","3","5","5","1",145111
"FLORIDA POMPANO",1,"2003","3","7","5","2",145111
"GAFFTOPSAIL CATFISH",5,"2003","3","3","5","2",145111
"GAFFTOPSAIL CATFISH",6,"2003","3","5","5","1",145111
"GAFFTOPSAIL CATFISH",4,"2003","3","7","5","2",145111
"GAG",12,"2003","3","5","5","1",145111
"GAG",19,"2003","3","7","5","2",145111
"GRAY SNAPPER",1,"2003","3","3","5","2",145111
"GRAY SNAPPER",4,"2003","3","5","5","1",145111
"GRAY SNAPPER",32,"2003","3","7","5","2",145111
"GRAY TRIGGERFISH",1,"2003","3","5","5","1",145111
"GULF FLOUNDER",1,"2003","3","3","5","2",145111
"GULF KINGFISH",2,"2003","3","3","5","2",145111
"GULF TOADFISH",1,"2003","3","7","5","2",145111
"HARDHEAD CATFISH",32,"2003","3","3","5","2",145111
"HARDHEAD CATFISH",6,"2003","3","5","5","1",145111
"HARDHEAD CATFISH",10,"2003","3","7","5","2",145111
"INSHORE LIZARDFISH",8,"2003","3","7","5","2",145111
"LADYFISH",1,"2003","3","3","5","2",145111
"LADYFISH",44,"2003","3","5","5","1",145111
"LADYFISH",50,"2003","3","7","5","2",145111
"LANE SNAPPER",2,"2003","3","5","5","2",145111
"LEFTEYE FLOUNDER FAMILY",2,"2003","3","7","5","2",145111
"PERMIT",1,"2003","3","5","5","1",145111
"PINFISH",5,"2003","3","5","5","1",145111
"PINFISH",7,"2003","3","7","5","2",145111
"RED DRUM",7,"2003","3","7","5","2",145111
"RED GROUPER",6,"2003","3","7","5","2",145111
"SAND PERCH",3,"2003","3","7","5","2",145111
"SHEEPSHEAD",4,"2003","3","5","5","1",145111
"SHEEPSHEAD",65,"2003","3","7","5","2",145111
"SOUTHERN STINGRAY",1,"2003","3","3","5","2",145111
"SPANISH MACKEREL",3,"2003","3","5","5","1",145111
"SPANISH MACKEREL",35,"2003","3","7","5","2",145111
"SPOTTAIL PINFISH",1,"2003","3","7","5","2",145111
"SPOTTED SEATROUT",34,"2003","3","5","5","1",145111
"SPOTTED SEATROUT",144,"2003","3","7","5","4",145111
"WHITE GRUNT",4,"2003","3","7","5","2",145111
"BLACK DRUM",1,"2003","4","3","5","2",408031
"BLUEFISH",22,"2003","4","5","5","1",408031
"BLUEFISH",1,"2003","4","7","5","1",408031
"COBIA",1,"2003","4","5","5","1",408031
"COMMON SNOOK",2,"2003","4","7","5","2",408031
"CREVALLE JACK",7,"2003","4","5","5","1",408031
"CREVALLE JACK",9,"2003","4","7","5","2",408031
"FLORIDA POMPANO",3,"2003","4","7","5","2",408031
"GAFFTOPSAIL CATFISH",24,"2003","4","7","5","2",408031
"GAG",10,"2003","4","5","5","1",408031
"GAG",1,"2003","4","7","5","2",408031
"GRAY SNAPPER",1,"2003","4","3","5","2",408031
"GRAY SNAPPER",6,"2003","4","7","5","2",408031
"GULF FLOUNDER",3,"2003","4","7","5","2",408031
"GULF KINGFISH",94,"2003","4","7","5","2",408031
"HARDHEAD CATFISH",2,"2003","4","5","5","1",408031
"HARDHEAD CATFISH",21,"2003","4","7","5","2",408031
"INSHORE LIZARDFISH",3,"2003","4","5","5","1",408031
"INSHORE LIZARDFISH",6,"2003","4","7","5","2",408031
"KINGFISH GENUS",7,"2003","4","7","5","2",408031
"LADYFISH",27,"2003","4","5","5","1",408031
"LADYFISH",119,"2003","4","7","5","4",408031
"LEATHERJACK",1,"2003","4","5","5","2",408031
"OCEANIC PUFFER",2,"2003","4","7","5","2",408031
"PERMIT",2,"2003","4","7","5","1",408031
"PINFISH",14,"2003","4","5","5","1",408031
"PINFISH",20,"2003","4","7","5","2",408031
"RED DRUM",2,"2003","4","5","5","1",408031
"RED DRUM",3,"2003","4","7","5","2",408031
"SAND PERCH",1,"2003","4","7","5","2",408031
"SAND SEATROUT",30,"2003","4","7","5","2",408031
"SHEEPSHEAD",1,"2003","4","3","5","2",408031
"SHEEPSHEAD",1,"2003","4","7","5","2",408031
"SOUTHERN KINGFISH",2,"2003","4","7","5","2",408031
"SPANISH MACKEREL",13,"2003","4","5","5","1",408031
"SPANISH MACKEREL",4,"2003","4","7","5","2",408031
"SPOTTED SEATROUT",83,"2003","4","5","5","1",408031
"SPOTTED SEATROUT",281,"2003","4","7","5","4",408031
"STINGRAY GENUS",1,"2003","4","7","5","2",408031
"WHITE GRUNT",4,"2003","4","7","5","2",408031
"BLUE RUNNER",4,"2003","5","7","5","2",140333
"CREVALLE JACK",7,"2003","5","7","5","2",140333
"GAFFTOPSAIL CATFISH",6,"2003","5","7","5","2",140333
"GRAY SNAPPER",6,"2003","5","7","5","2",140333
"GULF FLOUNDER",1,"2003","5","5","5","1",140333
"HARDHEAD CATFISH",9,"2003","5","7","5","2",140333
"INSHORE LIZARDFISH",2,"2003","5","7","5","2",140333
"KINGFISH GENUS",3,"2003","5","3","5","2",140333
"LADYFISH",3,"2003","5","7","5","2",140333
"PERMIT",1,"2003","5","7","5","1",140333
"PINFISH",1,"2003","5","7","5","2",140333
"RED DRUM",6,"2003","5","7","5","2",140333
"SPOTTED SEATROUT",12,"2003","5","5","5","1",140333
"SPOTTED SEATROUT",73,"2003","5","7","5","4",140333
"ATLANTIC SPADEFISH",3,"2003","6","3","5","2",78740
"ATLANTIC THREAD HERRING",4,"2003","6","7","5","4",78740
"BLACK DRUM",1,"2003","6","7","5","1",78740
"BLACK SEA BASS",4,"2003","6","7","5","2",78740
"BLUE RUNNER",2,"2003","6","3","5","2",78740
"BLUEFISH",1,"2003","6","5","5","1",78740
"BONNETHEAD",1,"2003","6","3","5","2",78740
"COMMON SNOOK",13,"2003","6","3","5","2",78740
"COMMON SNOOK",4,"2003","6","7","5","2",78740
"CREVALLE JACK",1,"2003","6","3","5","2",78740
"CREVALLE JACK",6,"2003","6","5","5","1",78740
"CREVALLE JACK",12,"2003","6","7","5","2",78740
"FLORIDA POMPANO",1,"2003","6","5","5","1",78740
"GAFFTOPSAIL CATFISH",1,"2003","6","3","5","2",78740
"GAFFTOPSAIL CATFISH",1,"2003","6","7","5","2",78740
"GAG",26,"2003","6","7","5","2",78740
"GOLIATH GROUPER",1,"2003","6","7","5","2",78740
"GRAY SNAPPER",10,"2003","6","3","5","2",78740
"GRAY SNAPPER",142,"2003","6","7","5","4",78740
"GULF FLOUNDER",2,"2003","6","7","5","2",78740
"HARDHEAD CATFISH",28,"2003","6","7","5","2",78740
"INSHORE LIZARDFISH",1,"2003","6","5","5","1",78740
"INSHORE LIZARDFISH",4,"2003","6","7","5","2",78740
"LADYFISH",3,"2003","6","3","5","2",78740
"LADYFISH",30,"2003","6","5","5","1",78740
"LADYFISH",9,"2003","6","7","5","2",78740
"LEFTEYE FLOUNDER FAMILY",1,"2003","6","3","5","2",78740
"LEFTEYE FLOUNDER FAMILY",2,"2003","6","7","5","2",78740
"NEEDLEFISH GENUS",1,"2003","6","7","5","2",78740
"PIGFISH",3,"2003","6","3","5","2",78740
"PIGFISH",5,"2003","6","7","5","2",78740
"PINFISH",73,"2003","6","3","5","4",78740
"PINFISH",119,"2003","6","7","5","4",78740
"RED DRUM",5,"2003","6","7","5","2",78740
"SAND PERCH",30,"2003","6","7","5","2",78740
"SCALED SARDINE",36,"2003","6","3","5","4",78740
"SCALED SARDINE",40,"2003","6","7","5","4",78740
"SHEEPSHEAD",3,"2003","6","3","5","2",78740
"SOUTHERN PUFFER",1,"2003","6","3","5","2",78740
"SPANISH SARDINE",104,"2003","6","3","5","4",78740
"SPOTTED SEATROUT",1,"2003","6","3","5","2",78740
"SPOTTED SEATROUT",55,"2003","6","5","5","1",78740
"SPOTTED SEATROUT",121,"2003","6","7","5","4",78740
